2019-12-20 19:29:52 INFO  CompanyDAOImpl:32 - INSERT INTO company(name, phone_number, taxt_number, location_id) VALUES(?, ?, ?, ?)
2019-12-20 19:29:52 INFO  CompanyDAOImpl:32 - INSERT INTO company(name, phone_number, taxt_number, location_id) VALUES(?, ?, ?, ?)
2019-12-20 19:29:52 INFO  CompanyDAOImpl:32 - INSERT INTO company(name, phone_number, taxt_number, location_id) VALUES(?, ?, ?, ?)
2019-12-20 19:29:52 INFO  CompanyDAOImpl:32 - INSERT INTO company(name, phone_number, taxt_number, location_id) VALUES(?, ?, ?, ?)
2019-12-20 19:29:52 INFO  CompanyDAOImpl:32 - INSERT INTO company(name, phone_number, taxt_number, location_id) VALUES(?, ?, ?, ?)
2019-12-20 19:29:52 INFO  CompanyDAOImpl:32 - INSERT INTO company(name, phone_number, taxt_number, location_id) VALUES(?, ?, ?, ?)
2019-12-20 19:29:52 INFO  CompanyDAOImpl:32 - INSERT INTO company(name, phone_number, taxt_number, location_id) VALUES(?, ?, ?, ?)
2019-12-20 19:29:52 INFO  CompanyDAOImpl:32 - INSERT INTO company(name, phone_number, taxt_number, location_id) VALUES(?, ?, ?, ?)
2019-12-20 19:29:52 INFO  CompanyDAOImpl:32 - INSERT INTO company(name, phone_number, taxt_number, location_id) VALUES(?, ?, ?, ?)
2019-12-20 19:29:52 INFO  CompanyDAOImpl:32 - INSERT INTO company(name, phone_number, taxt_number, location_id) VALUES(?, ?, ?, ?)
2019-12-20 19:29:52 INFO  CompanyDAOImpl:32 - INSERT INTO company(name, phone_number, taxt_number, location_id) VALUES(?, ?, ?, ?)
2019-12-20 19:29:52 INFO  CompanyDAOImpl:32 - INSERT INTO company(name, phone_number, taxt_number, location_id) VALUES(?, ?, ?, ?)
2019-12-20 19:29:52 INFO  CompanyDAOImpl:32 - INSERT INTO company(name, phone_number, taxt_number, location_id) VALUES(?, ?, ?, ?)
2019-12-20 19:29:52 INFO  CompanyDAOImpl:32 - INSERT INTO company(name, phone_number, taxt_number, location_id) VALUES(?, ?, ?, ?)
2019-12-20 19:29:52 INFO  CompanyDAOImpl:32 - INSERT INTO company(name, phone_number, taxt_number, location_id) VALUES(?, ?, ?, ?)
2019-12-20 19:29:52 INFO  CompanyDAOImpl:32 - INSERT INTO company(name, phone_number, taxt_number, location_id) VALUES(?, ?, ?, ?)
2019-12-20 19:29:52 INFO  CompanyDAOImpl:32 - INSERT INTO company(name, phone_number, taxt_number, location_id) VALUES(?, ?, ?, ?)
2019-12-20 19:29:52 INFO  CompanyDAOImpl:32 - INSERT INTO company(name, phone_number, taxt_number, location_id) VALUES(?, ?, ?, ?)
2019-12-20 19:29:52 INFO  CompanyDAOImpl:32 - INSERT INTO company(name, phone_number, taxt_number, location_id) VALUES(?, ?, ?, ?)
2019-12-20 19:29:52 INFO  CompanyDAOImpl:32 - INSERT INTO company(name, phone_number, taxt_number, location_id) VALUES(?, ?, ?, ?)
2019-12-20 19:29:52 INFO  CompanyDAOImpl:32 - INSERT INTO company(name, phone_number, taxt_number, location_id) VALUES(?, ?, ?, ?)
2019-12-20 19:29:52 INFO  CompanyDAOImpl:32 - INSERT INTO company(name, phone_number, taxt_number, location_id) VALUES(?, ?, ?, ?)
2019-12-20 19:29:52 INFO  CompanyDAOImpl:32 - INSERT INTO company(name, phone_number, taxt_number, location_id) VALUES(?, ?, ?, ?)
2019-12-20 19:29:52 INFO  CompanyDAOImpl:32 - INSERT INTO company(name, phone_number, taxt_number, location_id) VALUES(?, ?, ?, ?)
2019-12-20 19:29:52 INFO  CompanyDAOImpl:32 - INSERT INTO company(name, phone_number, taxt_number, location_id) VALUES(?, ?, ?, ?)
